City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Yauya,PE,-8.9833,-77.3,60.93,51,99,7.16,light rain
292,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,77,75,18.48,broken clouds
293,San Quintin,MX,30.4833,-115.95,62.85,31,80,5.73,broken clouds
294,Skibbereen,IE,51.55,-9.2667,46.11,82,100,10.83,overcast clouds
295,La Ronge,CA,55.1001,-105.2842,16.05,79,100,5.75,light snow
296,Santa Helena,BR,-2.2311,-45.3,77.74,83,100,2.77,overcast clouds
297,Vengerovo,RU,55.6848,76.7471,13.86,92,100,14.41,overcast clouds
298,Ahipara,NZ,-35.1667,173.1667,68.31,72,95,12.39,overcast clouds
299,Khasan,RU,42.4308,130.6434,5.18,75,55,5.66,broken clouds
300,Mount Pleasant,US,32.7941,-79.8626,73.54,90,100,14.97,mist
301,Semporna,MY,4.4818,118.6112,77.49,86,100,5.82,light rain
302,Provideniya,RU,64.3833,-173.3,-7.78,98,100,4.34,light snow
303,Concepcion,CL,-36.827,-73.0498,67.8,45,0,18.41,clear sky
304,Kaeo,NZ,-35.1,173.7833,67.84,76,86,14.07,overcast clouds
305,Newport,GB,51.5877,-2.9984,46.51,89,51,8.55,broken clouds
306,Natal,BR,-5.795,-35.2094,84.85,58,20,14.97,few clouds
307,Avanigadda,IN,16.0215,80.9181,66.25,86,4,2.3,clear sky
308,Thinadhoo,MV,0.5333,72.9333,80.87,74,97,10.8,overcast clouds
309,Vostok,RU,46.4856,135.8833,-27.54,99,90,3.67,overcast clouds
310,Ojinaga,MX,29.5667,-104.4167,58.57,30,0,10.36,clear sky
311,Vila,PT,42.0304,-8.1588,38.28,76,0,4.32,clear sky
312,Kadaya,RU,50.9327,119.2911,-39.95,98,100,0.27,overcast clouds
313,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,84,67,12.37,broken clouds
314,Panuco,MX,22.05,-98.1667,69.87,29,85,5.66,overcast clouds
315,Jizan,SA,17.3333,42.6667,76.14,67,1,3.42,clear sky
316,Severo-Kurilsk,RU,50.6789,156.125,24.03,79,100,10.76,overcast clouds
317,Kathu,TH,7.9178,98.3332,82.69,99,100,15.48,overcast clouds
318,Roald,NO,62.5833,6.1333,43.32,87,40,11.5,scattered clouds
319,Gimli,CA,50.6336,-96.9907,3.22,72,21,3.44,few clouds
320,Almaznyy,RU,48.0448,40.045,26.15,53,0,9.71,clear sky
321,Lebu,CL,-37.6167,-73.65,62.49,63,0,13.35,clear sky
322,Talcahuano,CL,-36.7167,-73.1167,67.68,45,0,18.41,clear sky
323,Shelburne,CA,44.0787,-80.2041,29.23,95,100,15.52,snow
324,Khanu Woralaksaburi,TH,16.0617,99.8606,66.72,53,9,5.75,clear sky
325,Nouadhibou,MR,20.931,-17.0347,71.58,60,71,9.22,broken clouds
326,Sao Filipe,CV,14.8961,-24.4956,71.22,68,100,4.29,overcast clouds
327,Kovur,IN,14.4833,79.9833,69.8,79,10,2.39,clear sky
328,Labuhan,ID,-6.8844,112.2051,76.86,86,100,11.14,moderate rain
329,Visnes,NO,59.3556,5.2242,43.83,87,40,12.66,scattered clouds
330,Lundazi,ZM,-12.2929,33.1782,66.02,95,100,3.4,light rain
331,Jishou,CN,28.3167,109.7167,35.8,52,0,1.79,clear sky
332,Friesoythe,DE,53.0167,7.85,29.93,92,34,6.73,scattered clouds
333,Varna,BG,43.2167,27.9167,35.74,92,100,9.22,overcast clouds
334,Lasa,IT,46.6166,10.7002,36.48,60,29,3.87,scattered clouds
335,Subtanjalla,PE,-14.0189,-75.7581,85.05,43,32,17.09,scattered clouds
336,Jacqueville,CI,5.2052,-4.4146,80.44,86,7,11.41,clear sky
337,Jiuquan,CN,39.7432,98.5174,8.58,74,100,3.91,overcast clouds
338,Mporokoso,ZM,-9.3727,30.125,61.41,98,100,3.65,overcast clouds
339,College,US,64.8569,-147.8028,-5.42,77,75,0.0,broken clouds
340,Palmer,US,42.1584,-72.3287,36.95,69,100,4.61,light snow
341,Seljord,NO,59.4894,8.634,34.9,94,99,5.99,overcast clouds
342,Charlestown,AU,-32.95,151.6667,69.73,96,1,3.78,light rain
343,Tongchuan,CN,35.0806,109.0897,27.55,18,99,6.08,overcast clouds
344,Jandaia Do Sul,BR,-23.6031,-51.6433,83.05,58,48,3.76,scattered clouds
